City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Changli,CN,39.7042,119.1506,75.61,90,86,12.41,overcast clouds
269,Olinda,BR,-8.0089,-34.8553,76.73,73,75,5.75,broken clouds
270,Port Alfred,ZA,-33.5906,26.891,54.95,85,20,9.13,few clouds
271,Agadir,MA,30.4202,-9.5982,70.25,68,88,4.29,overcast clouds
272,Richards Bay,ZA,-28.783,32.0377,59.76,77,2,7.11,clear sky
273,Muisne,EC,0.6,-80.0333,75.22,82,96,7.78,overcast clouds
274,Mogadishu,SO,2.0371,45.3438,75.9,79,86,19.55,light rain
275,Nalut,LY,30.3333,10.85,79.97,25,0,10.56,clear sky
276,Velsk,RU,61.0701,42.0983,57.16,99,74,4.92,broken clouds
277,Grand Gaube,MU,-20.0064,57.6608,70.2,77,89,10.0,light rain
278,Nsoko,SZ,-27.0333,31.95,57.79,81,0,7.11,clear sky
279,Rehoboth,NA,-23.3167,17.0833,42.76,42,0,3.78,clear sky
280,Dauphin,CA,51.1494,-100.0502,78.94,53,1,8.05,clear sky
281,Xingyi,CN,24.1877,102.817,68.41,87,92,1.81,overcast clouds
282,Elliot Lake,CA,46.3834,-82.6331,66.29,67,16,12.84,few clouds
283,Nome,US,64.5011,-165.4064,50.16,93,90,12.66,overcast clouds
284,Miraflores,MX,19.2167,-98.8083,70.45,84,69,4.12,broken clouds
285,Hovd,MN,48.0056,91.6419,67.05,39,98,3.53,overcast clouds
286,Kavieng,PG,-2.5744,150.7967,83.84,71,71,3.91,light rain
287,Berezovka,BY,53.7214,25.4993,61.2,88,39,4.81,scattered clouds
288,Peace River,CA,56.2501,-117.286,82.71,28,20,16.11,few clouds
289,Riyadh,SA,24.6877,46.7219,86.14,16,15,3.15,few clouds
290,Alegrete,BR,-29.7831,-55.7919,40.03,71,0,1.34,clear sky
291,Doha,QA,25.2867,51.5333,94.98,49,0,2.3,clear sky
292,Maku,IR,39.2911,44.4521,61.52,78,5,2.84,clear sky
293,Avera,US,33.194,-82.5271,89.47,57,5,6.49,clear sky
294,Arani,IN,12.6667,79.2833,82.35,55,100,12.37,overcast clouds
295,Tocopilla,CL,-22.092,-70.1979,63.27,65,45,5.7,scattered clouds
296,Tura,IN,25.5198,90.2201,75.06,91,100,5.97,overcast clouds
297,Port Hardy,CA,50.6996,-127.4199,69.98,73,20,13.8,few clouds
298,El Roble,CO,9.1019,-75.1951,77.18,93,89,9.86,overcast clouds
299,Moree,AU,-29.4667,149.85,59.02,44,0,9.22,clear sky
300,Iwanai,JP,42.9744,140.5089,84.65,68,15,2.64,few clouds
301,Fare,PF,-16.7,-151.0167,77.67,74,7,3.58,clear sky
302,Kuytun,RU,54.3419,101.5036,58.15,67,100,9.66,overcast clouds
303,Baykit,RU,61.67,96.37,62.55,93,100,3.98,overcast clouds
304,Hukuntsi,BW,-24.0,21.75,48.24,36,0,9.71,clear sky
305,Pangkalanbuun,ID,-2.6833,111.6167,85.69,64,90,4.27,overcast clouds
306,Show Low,US,34.2542,-110.0298,69.51,85,1,6.91,clear sky
307,Brae,GB,60.3964,-1.353,53.51,96,100,8.23,overcast clouds
308,Miguel Hidalgo,MX,19.4225,-99.2028,71.01,43,75,16.11,broken clouds
309,Wokha,IN,26.1,94.2667,65.89,93,97,1.39,overcast clouds
310,Teahupoo,PF,-17.8333,-149.2667,74.53,77,24,3.74,light rain
311,Ambilobe,MG,-13.2,49.05,62.53,90,0,3.65,clear sky
312,Yatou,CN,37.15,122.3833,80.19,80,91,18.61,overcast clouds
313,Vredendal,ZA,-31.6683,18.5012,51.15,82,1,3.85,clear sky
314,Miramar,US,25.9873,-80.2323,82.0,78,20,5.75,few clouds
315,Melfi,IT,40.9965,15.6514,79.23,33,0,8.39,clear sky
316,Opuwo,NA,-18.0607,13.84,55.98,27,8,10.13,clear sky
317,Ha Tinh,VN,18.3333,105.9,89.46,63,100,6.87,overcast clouds
318,Ankazobe,MG,-18.3167,47.1167,54.01,87,70,11.21,broken clouds
319,Andenes,NO,69.3143,16.1194,48.18,93,100,24.16,overcast clouds
320,Bakal,RU,54.9417,58.8083,53.37,74,100,6.49,light rain
321,Mingyue,CN,43.1069,128.9217,78.73,82,99,3.04,overcast clouds
322,Saravan,AM,39.7196,45.6483,56.05,81,5,6.2,clear sky
323,Yangambi,CD,0.8102,24.4336,70.97,82,57,2.37,broken clouds
324,Saskylakh,RU,71.9167,114.0833,83.1,38,17,6.02,few clouds
325,Dalbandin,PK,28.8947,64.4101,88.11,13,26,7.63,scattered clouds
326,Turtas,RU,58.9417,69.1325,48.36,89,17,5.82,few clouds
327,Kalinovskaya,RU,43.5758,45.5192,61.88,54,0,1.54,clear sky
328,Lagoa,PT,39.05,-27.9833,69.64,90,0,8.1,clear sky
329,Longyan,CN,25.1072,117.0225,87.44,63,88,3.42,overcast clouds
330,Umm Kaddadah,SD,13.6017,26.6876,85.59,54,100,13.87,overcast clouds
331,Goundam,ML,16.4145,-3.6708,88.92,46,66,6.38,broken clouds
332,Abu Dhabi,AE,24.4667,54.3667,91.51,84,97,3.44,overcast clouds
333,Quchan,IR,37.106,58.5095,64.74,79,33,7.58,scattered clouds
334,Petropavlovka,RU,50.6114,105.3196,57.67,82,100,5.48,overcast clouds
335,Severnyy,RU,50.677,36.5532,68.04,83,39,4.47,scattered clouds
336,Hualmay,PE,-11.0964,-77.6139,63.91,84,75,8.3,broken clouds
337,Reshetylivka,UA,49.565,34.0782,66.99,94,62,7.43,broken clouds
338,Sosnovka,RU,56.255,51.2842,58.87,96,67,2.95,broken clouds
339,Kabwe,ZM,-14.4469,28.4464,50.61,69,2,4.41,clear sky
340,Filingue,NE,14.3521,3.3168,84.69,58,98,4.32,overcast clouds
341,Mayo,US,38.8876,-76.5119,80.71,93,40,1.99,mist
342,Mersing,MY,2.4312,103.8405,80.51,89,40,3.44,scattered clouds
343,Maldonado,UY,-34.6667,-54.9167,46.22,81,5,6.49,clear sky
344,Chabahar,IR,25.2919,60.643,84.78,80,98,11.81,overcast clouds
345,Korla,CN,41.7597,86.1469,92.48,18,17,23.31,few clouds
346,Havelock,US,34.8791,-76.9013,82.38,86,1,5.01,clear sky
347,Sao Joao Da Barra,BR,-21.6403,-41.0511,60.84,61,0,19.93,clear sky
348,Det Udom,TH,14.906,105.0784,88.95,79,83,13.15,broken clouds
